Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,26.759283333333332,min
Min cumulative indexing time across primary shards,,0.028916666666666667,min
Median cumulative indexing time across primary shards,,13.379641666666666,min
Max cumulative indexing time across primary shards,,26.730366666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,64.21701666666667,min
Cumulative merge count of primary shards,,24,
Min cumulative merge time across primary shards,,0.0013166666666666667,min
Median cumulative merge time across primary shards,,32.10850833333333,min
Max cumulative merge time across primary shards,,64.2157,min
Cumulative merge throttle time of primary shards,,28.349266666666665,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,14.174633333333333,min
Max cumulative merge throttle time across primary shards,,28.349266666666665,min
Cumulative refresh time of primary shards,,3.1823333333333332,min
Cumulative refresh count of primary shards,,109,
Min cumulative refresh time across primary shards,,0.0059499999999999996,min
Median cumulative refresh time across primary shards,,1.5911666666666666,min
Max cumulative refresh time across primary shards,,3.1763833333333333,min
Cumulative flush time of primary shards,,5.933833333333333,min
Cumulative flush count of primary shards,,38,
Min cumulative flush time across primary shards,,0.16006666666666666,min
Median cumulative flush time across primary shards,,2.9669166666666666,min
Max cumulative flush time across primary shards,,5.773766666666666,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,12.71015439555049,GB
Translog size,,1.0244548320770264e-07,GB
Heap used for segments,,0.10223007202148438,MB
Heap used for doc values,,0.010532379150390625,MB
Heap used for terms,,0.0611572265625,MB
Heap used for norms,,0.0067138671875,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.02382659912109375,MB
Segment count,,29,
50th percentile latency,index,289.5528419994662,ms
90th percentile latency,index,353.0745513995498,ms
100th percentile latency,index,390.6004700002086,ms
50th percentile service time,index,289.5528419994662,ms
90th percentile service time,index,353.0745513995498,ms
100th percentile service time,index,390.6004700002086,ms
error rate,index,100.00,%
Min Throughput,search,0.05,ops/s
Mean Throughput,search,0.07,ops/s
Median Throughput,search,0.07,ops/s
Max Throughput,search,0.11,ops/s
50th percentile latency,search,24720.36642600142,ms
90th percentile latency,search,24961.23480140177,ms
100th percentile latency,search,25017.910415001097,ms
50th percentile service time,search,35.172038500604685,ms
90th percentile service time,search,4467.3384431989625,ms
100th percentile service time,search,20190.037962000133,ms
error rate,search,0.00,%
